,SubNum,Include,level_0,index,trial_type,trial_index,time_elapsed,rt,response,control_level,task_id,screen_id,difference,Key_Release_sim_x,Key_Release_sim_y,Key_Release_p1_x,Key_Release_p1_y,Correlation_x,Correlation_y,block
50,2,1,50,108,html-slider-response,108,868192,7123.0,100.0,1.0,question_agency,question_agency_line_inverted,0.0,7.0,7.0,26.0,8.0,-0.22737098365949104,0.1318074020554555,3
53,2,1,53,151,html-slider-response,151,1140079,4015.0,88.0,1.0,question_agency,question_agency_line_inverted,-12.0,10.0,7.0,9.0,12.0,0.39436641249221577,0.14668400419436595,4
51,2,1,51,185,html-slider-response,185,1745991,46340.0,75.0,1.0,question_agency,question_agency_line_inverted,-25.0,5.0,4.0,6.0,6.0,0.007661565303034783,-0.2206910753534678,5
1,3,1,1,25,html-slider-response,25,228852,5265.0,2.0,0.0,question_agency,question_agency_line_inverted,2.0,8.0,7.0,16.0,11.0,0.2893953966899385,-0.1766237875933221,1
3,3,1,3,74,html-slider-response,74,482682,4637.0,0.0,0.0,question_agency,question_agency_line_inverted,0.0,6.0,8.0,9.0,14.0,0.31290242161949466,0.023741868185849023,2
0,3,1,0,90,html-slider-response,90,559898,7093.0,1.0,0.0,question_agency,question_agency_line_inverted,1.0,7.0,10.0,14.0,11.0,0.07588695543663437,0.5422259058022284,3
4,3,1,4,145,html-slider-response,145,819888,3958.0,0.0,0.0,question_agency,question_agency_line_inverted,0.0,8.0,9.0,10.0,8.0,0.08131666446085942,0.4899720219820069,4
2,3,1,2,173,html-slider-response,173,950336,3892.0,0.0,0.0,question_agency,question_agency_line_inverted,0.0,7.0,4.0,9.0,10.0,-0.13780208502393246,-0.036639187656994684,5
8,3,1,8,40,html-slider-response,40,306379,5567.0,72.0,0.1,question_agency,question_agency_line_inverted,62.0,7.0,6.0,5.0,12.0,0.571422849718323,0.20310230847318647,1
9,3,1,9,68,html-slider-response,68,454626,4345.0,0.0,0.1,question_agency,question_agency_line_inverted,-10.0,6.0,6.0,18.0,16.0,-0.1293673947971971,0.08560026837374966,2
5,3,1,5,117,html-slider-response,117,692497,3779.0,0.0,0.1,question_agency,question_agency_line_inverted,-10.0,7.0,7.0,13.0,14.0,-0.00997923880225747,-0.12913697592431436,3
6,3,1,6,124,html-slider-response,124,724520,2891.0,0.0,0.1,question_agency,question_agency_line_inverted,-10.0,9.0,7.0,14.0,17.0,-0.2375037037593619,0.09729072146173397,4
7,3,1,7,179,html-slider-response,179,977737,3664.0,0.0,0.1,question_agency,question_agency_line_inverted,-10.0,9.0,8.0,17.0,18.0,0.004624034030380037,-0.02651612592209223,5
13,3,1,13,28,html-slider-response,28,244147,6288.0,0.0,0.2,question_agency,question_agency_line_inverted,-20.0,6.0,6.0,15.0,18.0,-0.42225782074139573,-0.1456994902508256,1
11,3,1,11,56,html-slider-response,56,395051,5444.0,0.0,0.2,question_agency,question_agency_line_inverted,-20.0,8.0,7.0,5.0,22.0,0.11926561368147451,-0.01004524182713684,2
